,house_id,house_name,price_per_night,rating,review_num,house_url
35,18477382,Cozy master bedroom with bathroom,56,0,178,https://www.airbnb.com/rooms/31570547?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
36,40235146,3.D SHARED PLACE BEHIND THE SHELF NEAR UNIVERSAL,39,4.67,8,https://www.airbnb.com/rooms/40704558?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
37,20457049,Apartment 1 Bedroom near LAX and Mannahattan Beach,59,0,104,https://www.airbnb.com/rooms/26167094?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
38,35270270,"❤️1-1, Private room. Near USC, Exposition park!!!",40,4.86,24,https://www.airbnb.com/rooms/19198409?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
39,40775642,"Private, Quiet, Spacious 1Br Hollywood Hills Suite",72,4.83,0,https://www.airbnb.com/rooms/5184818?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
40,13823767,A Sound Sleep on Kingsize Bed with inside Bathroom,15,5.0,339,https://www.airbnb.com/rooms/19573785?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
41,32902372,••••~*Serene Hollywood Side House*~••••,59,4.14,18,https://www.airbnb.com/rooms/25135484?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
42,34227674,San Gabriel 独立洗手间一楼D房密码锁入住..步行十分钟希尔顿酒店,43,4.80,8,https://www.airbnb.com/rooms/14984250?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
43,5208021,"Private BDR / BATH, West LA fast internet",90,0,44,https://www.airbnb.com/rooms/39833870?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
44,39599271,cozy studio #8,49,0,6,https://www.airbnb.com/rooms/20457049?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
