,house_id,lat_lng,address
137,28544248,"(34.05194, -118.24731)","225 S Broadway, Los Angeles, CA 90012, USA"
138,16498576,"(34.11524, -118.18385)","6300 N Figueroa St, Los Angeles, CA 90042, USA"
139,26364147,"(33.79976, -118.19472)","2334 Cedar Ave, Long Beach, CA 90806, USA"
140,37998331,"(34.01242, -118.08385)","8811 Tilmont Ave, Pico Rivera, CA 90660, USA"
141,22484936,"(34.1281, -118.22448)","2654 Cunard St, Los Angeles, CA 90065, USA"
142,36913174,"(34.12376, -118.18791)","6059 Springvale Dr, Los Angeles, CA 90042, USA"
143,40640151,"(34.05197, -118.24731)","225 S Broadway, Los Angeles, CA 90012, USA"
144,21234077,"(33.95933, -118.3753)","1030 W Manchester Blvd, Inglewood, CA 90301, USA"
145,20569792,"(34.09588, -118.28785)","4537 Fountain Ave, Los Angeles, CA 90029, USA"
146,40262470,"(34.05493, -118.26607)","1301 Shatto St, Los Angeles, CA 90017, USA"
147,33752834,"(33.93644, -118.33299)","3502 W 109th St, Inglewood, CA 90303, USA"
148,5526345,"(34.03911, -118.28185)","1121 W Washington Blvd, Los Angeles, CA 90015, USA"
149,13606147,"(34.12457, -118.37591)","2925 Dona Susana Dr, Studio City, CA 91604, USA"
150,40254065,"(33.93035, -118.21277)","3197 Imperial Hwy, Lynwood, CA 90262, USA"
151,8516411,"(33.96137, -118.44787)","341 Culver Blvd, Playa Del Rey, CA 90293, USA"
152,18774139,"(33.80783, -118.19502)","2791 Cedar Ave, Long Beach, CA 90806, USA"
153,40433621,"(33.88444, -118.31625)","2120 W 161st St, Torrance, CA 90504, USA"
154,36281349,"(34.05721, -118.12003)","429 Russell Ave, Monterey Park, CA 91755, USA"
155,1657261,"(34.0181, -118.46523)","2201 Pearl St, Santa Monica, CA 90405, USA"
156,40684646,"(34.05353, -118.27193)","717 S Union Ave, Los Angeles, CA 90017, USA"
157,20055899,"(34.08208, -118.25782)","1819 Grafton St, Los Angeles, CA 90026, USA"
158,5374860,"(34.10064, -118.30633)","1623 N Hobart Blvd, Los Angeles, CA 90027, USA"
159,31771614,"(34.07589, -117.76288)","801 Inspiration Dr, Pomona, CA 91768, USA"
160,40292840,"(34.07297, -118.21789)","2126 N Broadway, Los Angeles, CA 90031, USA"
161,40734143,"(34.044, -118.25233)","710 S Spring St, Los Angeles, CA 90014, USA"
162,34758788,"(33.99397, -117.85714)","1311 Honeyhill Dr, Walnut, CA 91789, USA"
163,29079022,"(33.96985, -118.36509)","622 Venice Way, Inglewood, CA 90302, USA"
164,7660161,"(34.03804, -118.27981)","1013 W Washington Blvd, Los Angeles, CA 90015, USA"
165,14637506,"(34.07302, -118.37366)","8410 W 3rd St, Los Angeles, CA 90048, USA"
166,38873385,"(34.01605, -118.49757)","1322 2nd Ct, Santa Monica, CA 90401, USA"
167,25738917,"(34.08346, -118.20675)","570 Fenn St, Los Angeles, CA 90031, USA"
168,34276175,"(33.99557, -118.46788)","626 Brooks Ave, Venice, CA 90291, USA"
169,31877867,"(34.1047, -118.33502)","1847 N Cherokee Ave, Los Angeles, CA 90028, USA"
